q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
3600.0	16000.0	161894.7	-1910.426794	3.525	2.67148e-06	-1.46729e-07	2.99578e-08
3600.0	20000.0	159524.5	-1909.706558	3.484	2.71748e-06	-1.62475e-07	2.9337e-08
3600.0	24000.0	169184.4	-1906.130587	3.03	3.73624e-06	-2.23172e-07	3.3049e-08
3600.0	28000.0	416792.6	-1900.75478	2.359	1.29658e-05	-4.33563e-07	1.55059e-08
3600.0	32000.0	557101.8	-1899.007662	2.564	1.18029e-05	-3.75296e-07	1.29151e-08
3600.0	36000.0	701869.0	-1897.196823	3.038	6.41915e-06	-2.25903e-07	9.01668e-09
3600.0	40000.0	851063.9	-1895.383628	3.139	7.59882e-06	-2.68054e-07	9.9808e-09
3600.0	44000.0	1087358.0	-1897.457125	4.485	3.14894e-06	-1.16344e-07	5.10173e-09
3600.0	48000.0	1342448.0	-1895.32607	2.615	3.35197e-06	-1.05059e-07	3.80291e-09
3600.0	52000.0	1428819.0	-1895.5363	3.553	2.54942e-06	-8.94143e-08	3.55688e-09
3800.0	-0.0	74392.66	-1907.195698	3.402	3.16642e-06	1.93854e-15	2.60222e-08
3800.0	4000.0	77095.99	-1906.621854	3.455	2.47834e-06	-4.7958e-08	2.34892e-08
3800.0	8000.0	185717.2	-1906.500175	3.314	1.64494e-06	-3.42256e-08	2.47584e-08
3800.0	12000.0	181745.8	-1908.117661	3.752	1.21153e-06	-9.28849e-08	3.52769e-08
3800.0	16000.0	176688.6	-1909.852404	4.122	1.44037e-06	-9.93777e-08	2.64424e-08
